dia,mes,"fraseTexto"
28,10,"Corred de tal manera que lo obtengàis. 1 CORINTIOS 9.24"
29,10,"Y ellos le han vencido por medio de la sangre del Cordero.APOCALIPSIS 12.11"
30,10,"Tuya es, oh Jehovà , la magnificencia y el poder, laa gloria, la victoria y el honor. 1CRÒNICAS 29.11"
31,10,"No seas vencido de lo malo, sino vence con el bien el mal . ROMANOS 12.21"
1,11,"Pensamientos de paz, y no de mal, para daros el fin que esperàis. JEREMÌAS 29.11"
2,11,"No temas, porque yo estoy contigo . ISAÌAS 41.10"
3,11,"Cuando pases por aguas, yo estarè contigo. ISAÌAS 43.2"
4,11,"No pereceràn jamàs , ni nadie las arrebatarà de mi mano. JUAN 10.28"
5,11,"Dios es nuestro amparo y fortaleza. SALMOS 46.1"
6,11,"Aquel que es poderoso para guardaros sin caida. JUDAS 24"
7,11,"Al que puede confirmaros segùn mi evangelio y la predicaciòn de Jesucristo. ROMANOS 16.25"
8,11,"Estoy seguro que es poderoso para guardar mi depòsito para aquel dìa. 2 TIMOTEO 1.12"
9,11,"Echando toda vuestra ansiedad sobre él , porque él tiene cuidado de vosotros. 1PEDRO 5,7"
10,11,"Danos socorro contra el enemigo , porque vana es la ayuda de los hombres. SALMOS 60.11"
11,11,"Por lo cual puede tambièn salvar perpetuamente a los que por èl se acercan a Dios. HEBREOS 7.25"
12,11,"Jehovà, en cuya precensia he andado , enviarà su àngel contigo. GÈNESIS 24.40"
13,11,"Tù eres mi refugio;… con cànticos de liberaciòn me rodearàs. SALMOS 32.7"
14,11,"Jehovà serà refugio del pobre, refugio para el tiempo de angustia. SALMOS 9.9"
15,11,"Porque èl me esconderà en su tabernàculo . SALMOS 27.5"
16,11,"No tendràs temor de pavor repentino. PROVERBIOS. 3.25"
17,11,"Solo tù, Jehovà, me haces vivir confiado. SALMOS 4.8"
18,11,"No desamparaste a los que te buscaaron. SALMOS 9.10"
19,11,"No desmayes,porque yo soy tu Dios que te esfuerzo. ISAIAS 41.10"
20,11,"Y sabemos que a los que aman a Dios, todas las cosas les ayudan a bien. ROMANOS 8.28"
21,11,"Sois guardados por el poder de Dios mediante la fe.1 PEDRO 1.5"
22,11,"Porque sol y escudo es Jehovà Dios. SALMOS 84.11"
23,11,"Por tanto, no temeremos , aunque la tierra sea removida. SALMOS 46.2"
24,11,"En el dìa que temo , yo en ti confìo . SALMOS 56.3"
25,11,"Jehovà es mi luz y mi saalvaciòn ; ¿de quièn temerè? SALMOS 27.1"
26,11,"Aunque un ejèrcito acampe contra mì, no temerà mi corazòn. SALMOS 27.3"
27,11,"Jehovà el Señor es mi fortaleza. HABACUC 3.19"
28,11,"No temas, porque yo te redimì; te puse nombre, mìo eres tù. ISAÌAS 43.1"
29,11,"Tu Dios estarà contigo en dondequiera que vayas. JOSUÈ 1.9"
30,11,"Jehovà es la fortaleza de mi vida; ¿de quièn he de atemorizarme? SALMOS 27.1"
1,12,"Ciertamente ninguno de cuantos esperan en ti serà confundido. SALMOS 25.3"
2,12,"Tardo para la ira, y grande en misericordiaa y verdad. ÈXODO 34.6"
3,12,"Dios de verdad, y sin ninguna iniquidad en èl ; es justo y recto. DEUTERONOMIO 32.4"
4,12,"Jehovà, no desamparaste a los que te buscaron. SALMO 9.10"
5,12,"Nos ha dado preciosas y grandisimas promesas . 2 PEDRO 1.4"
6,12,"El que ha de venir vendrà, y no tardarà HEBREOS 10.37"
7,12,"El Señor no retarda su promesa . 2 PEDRO 3.9"
8,12,"Fiel es el que prometiò . HEBREOS 10.23"
9,12,"Grande es tu fidelidad. LAMENTACIONES 3.23"
10,12,"Jesucristo es el mismo ayer. Y hoy,y por los siglos. HEBREOS 13.8"
11,12,"Cumpliste tu palabra,porque eres justo. NEHEMÌAS 9.8"
12,12,"No faltò palabras de todas las buenas promesas que Jehovà habìa hecho a la casa de Israel ; todo se cumplio. JOSUÈ 21.45"
13,12,"Mi arco he puesto en las nubes, el cual serà por señal del pacto entre mì y la tierra. GÈNESIS 9.13"
14,12,"No ha faltado una palabra de todas las buenas palabras que Jehovà vuestro Dìos habìa dicho de vosotros…JOSUÈ 23.14a"
15,12,"…todas os han acontecido, no ha faltado ninguna de ella. JOSUÈ 23.14b"
16,12,"Pero fiel es el Señor,que os afirmarà y guardarà del mal. 2 TESALONICENSES 3.3"
17,12,"Ninguna palabra de todas sus promesas que expresò por Moisès su siervo, ha faltado. 1 REYES 8.56"
18,12,"Plenamente convencido de que era tambièn poderoso para hacer todo lo que habìa prometido. ROMANOS 4.21"
19,12,"Fiel es el que os llama, el cual tambièn lo harà. 1 TESALONICENSES 5.24"
20,12,"Si fuèremos infieles, èl permanece fiel . 2 TIMOTEO 2.13"
21,12,"Todas las promesas de Dios son en èl Sì, y en èl Amèn . 2 CORINTIOS 1.20"
22,12,"El cielo y la tierra pasaràn , pero mis palabras no pasaràn . MATEOS 24.35"
23,12,"Bienaventurados todos los que confìan en èl. ISAÌAS 30.18"
24,12,"Tus consejos antiguos son verdad y firmeza. ISAÌAS 25.1"
25,12,"La palabra de Dios nuestro permanece para siempre. ISAÌAS 40.8"
26,12,"Todo aquel que en èl creyere , no serà avergonzado. ROMANOS. 10.11"
27,12,"Jehovà tu Dios es Dios , Dios fiel,que guarda el pacto. DEUTERONOMIO 7.9"
28,12,"( No) se olvidarà del pacto que les jurò a tus padres . DEUTERONOMIO 4.31"
29,12,"Jehovà cumplirà su propòsito en mì. SALMOS 138.8"
30,12,"Dios no es hombre, para que mienta . NÙMEROS 23.19"
31,12,"Fiel es Dios. 1 CORINTIOS 1.9"
